time,cpu_usage_pct,ram_usage_pct,network_in,network_out,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
10:35:06,17.4,0.0197718,1.77,18.35,0,1,0,1,0,1,4,27,297481,7,0,8,1324,120290,1762,0,0,7280,5219,721,1555,71,4,216,0,4,46,46,1,68,28,978253,95,1,17,3,187236,187228,6,5,0,6,2,297312,179820,3,3,105,21,11,0,0,0,45,381421,141,30,1,3,6,2,0,0,2,1,1,0,2
10:35:16,17.6,0.0197473,1.73,19.36,0,1,0,1,0,1,4,4,300298,8,0,8,318,121332,1651,0,0,7089,5064,446,836,52,4,76,0,4,42,42,1,58,28,986463,87,0,17,2,187118,187105,6,6,0,1,2,299930,180354,3,3,95,10,7,0,0,0,42,379108,142,29,1,1,0,1,0,0,1,1,2,2,2
10:35:26,17.8,0.0195299,1.65,18.35,0,0,0,0,0,0,4,3,299665,9,0,4,1312,122398,1711,0,0,7254,5213,721,1172,73,4,97,0,2,46,46,1,62,19,987660,95,0,17,3,187017,187004,4,4,0,0,2,299348,179715,3,3,107,21,11,0,0,0,43,373169,145,27,1,0,0,1,0,0,1,1,0,0,1
10:35:35,18,0.0195259,1.70,19.36,0,0,0,0,0,0,4,23,274339,8,0,4,1346,98015,1724,0,0,7119,5085,446,1120,52,67,143,126,2,43,43,1,67,20,865673,89,1,17,2,185214,185215,4,4,0,1,2,274232,178373,3,3,97,10,7,0,0,0,42,347478,141,26,0,0,0,1,0,0,1,0,0,0,0
10:35:45,18.2,0.01963,1.83,19.36,0,0,0,0,0,0,4,7,298714,6,0,4,1317,121364,1654,0,0,7119,5086,450,840,52,4,74,0,2,43,43,1,54,14,981855,89,0,17,2,186690,186680,4,4,0,0,2,298411,179829,3,3,99,11,8,0,0,0,41,383977,138,26,0,0,0,1,0,0,1,0,0,0,0
10:35:54,18.2,0.0196565,1.91,19.44,0,0,0,0,0,0,4,7,299094,13,0,2,1314,122208,1686,0,0,7116,5080,447,893,52,4,131,0,1,46,46,1,69,19,984881,95,0,17,2,186180,186170,2,2,0,0,2,298749,179362,3,3,102,10,4,0,0,0,39,387177,131,25,0,0,0,2,0,0,2,0,0,0,0
10:36:04,18.4,0.0195667,1.64,19.36,0,0,0,0,0,0,4,11,297788,8,0,4,1321,121448,1735,0,0,7527,5234,602,1241,61,11,132,0,26,43,43,1,69,21,982446,89,1,18,2,187295,187289,18,4,1,0,2,297598,178982,3,3,227,12,153,0,0,0,40,380135,171,40,0,0,0,1,0,0,1,0,0,0,0
10:36:14,18.6,0.0195636,1.65,20.36,0,0,0,0,0,0,4,3,299165,7,0,4,330,121318,1684,0,0,7097,5072,440,909,52,4,75,0,2,43,43,1,54,12,983844,89,0,17,2,186127,186112,4,4,0,0,2,298842,179352,3,3,91,10,4,0,0,0,41,381492,130,27,0,0,0,1,0,0,1,0,0,0,0
10:36:24,18.7,0.0195453,1.64,19.36,0,0,0,0,0,0,4,1,299222,8,0,4,1302,122264,1637,0,0,7104,5077,444,847,52,4,76,0,2,43,43,1,55,19,985380,89,0,17,2,186108,186098,4,5,0,0,2,298840,179309,3,3,92,10,4,0,0,0,41,380707,135,27,0,0,0,2,0,0,2,0,0,0,0
10:36:33,18.8,0.01963,1.83,19.36,0,0,0,0,0,0,4,12,297107,7,0,4,1293,120786,1648,0,0,7073,5053,442,1166,52,4,149,0,2,42,42,1,69,20,977713,87,1,17,2,185696,185691,4,5,0,3,2,296977,178868,3,3,92,10,4,0,0,0,39,385515,137,29,0,0,0,2,0,0,2,0,0,0,0
