time,cpu_usage_pct,ram_usage_pct,network_in,network_out,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
15:35:03,23.1,0.0219843,1.64,19.35,0,0,0,0,0,0,2,28,295263,5,0,4,365,117662,1713,0,0,7476,5332,2118,3148,430,71,787,126,2,43,43,1,896,304,976556,89,4,17,36,187955,187922,4,5,4,6,9,295169,179227,6,9,98,11,7,0,5,0,42,372615,142,33,0,0,0,22,0,0,22,0,0,0,0
15:35:12,23.1,0.0220578,1.90,18.98,0,0,0,0,4,0,2,12,298198,15,0,4,1332,120446,1806,2,0,7449,5317,2727,3119,569,75,867,94,2,47,47,1,1373,368,989973,97,6,16,36,188880,188852,4,4,6,8,11,297725,180018,7,11,104,11,5,6,7,1,41,357863,148,29,0,0,0,22,0,0,22,0,0,0,0
15:35:22,23.1,0.0220894,2.12,19.73,0,0,0,0,7,0,2,29,268380,14,0,4,1531,94640,2144,2,0,7715,5522,3959,4727,1047,203,1168,189,261,48,48,1,2223,802,864839,99,10,23,47,187133,187122,167,4,9,11,17,268261,176670,9,13,239,13,29,6,10,1,42,306256,457,147,0,0,0,23,0,0,23,0,0,0,0
15:35:32,23.1,0.0219119,2.54,20.21,0,0,0,0,0,0,2,21,293468,7,0,4,1325,117185,1811,0,0,7493,5344,3194,3633,900,139,922,189,2,42,42,1,1652,689,974333,87,7,17,47,189119,189097,4,4,7,8,15,293103,178774,7,10,99,12,14,0,8,0,41,359755,143,32,0,0,0,20,0,0,20,0,0,0,0
15:35:42,23.1,0.021969,1.93,19.62,0,0,0,0,0,0,4,23,286431,5,0,4,1345,111756,1802,0,0,7552,5394,3265,3947,903,201,981,63,2,43,43,1,1711,702,945592,89,8,17,48,187868,187855,4,5,7,9,15,286291,177314,7,10,99,15,16,0,8,0,41,350625,149,33,0,0,0,21,0,0,21,0,0,0,0
15:35:51,23.1,0.0220456,1.65,19.36,0,0,0,0,7,0,2,24,290382,13,0,4,1356,114226,1905,2,0,7558,5390,3824,4496,1054,266,1131,189,2,47,47,1,2198,801,964560,97,10,17,47,189504,189491,4,5,9,10,17,290274,178784,8,12,109,13,15,6,10,1,40,343909,165,32,0,0,0,19,0,0,19,0,0,0,0
15:36:01,23.1,0.0219925,2.35,18.98,0,0,0,0,7,0,2,22,294053,14,0,4,1165,117194,2023,2,0,8124,5947,5443,6063,1241,458,1325,189,2,56,56,5,2997,916,987259,107,12,17,48,192792,192774,4,5,11,13,21,293922,179281,9,14,121,16,21,6,13,1,49,328214,172,35,0,0,0,24,0,0,24,0,0,0,0
15:36:11,23.1,0.0218343,2.30,19.73,0,0,0,0,0,0,4,13,286417,9,0,2,375,110792,1836,0,0,7600,5443,3370,3804,907,138,931,157,1,43,43,1,1661,706,943680,89,7,17,47,187837,187820,2,3,7,8,15,286073,177178,7,10,105,19,17,0,8,0,40,346590,157,33,0,0,0,20,0,0,20,0,0,0,0
15:36:20,23.1,0.0218761,2.10,19.36,13,14,0,1,6,1,4,27,282859,40,0,5,370,107626,1916,2,1,8183,6007,5662,6258,1240,208,1273,63,3,57,57,5,2977,911,937970,109,12,17,48,190602,190587,6,4,11,12,21,282687,176782,9,14,130,44,24,6,13,1,48,312777,178,38,1,0,0,20,0,0,20,1,0,0,1
15:36:30,23.1,0.0219027,1.58,19.35,11,13,11,2,7,1,4,18,284142,18,1,12,676,108163,1824,2,1,7319,5249,2448,2971,649,199,501,126,6,49,49,1,1350,460,927665,101,6,17,14,186949,186938,8,8,5,7,10,283982,177569,5,6,118,30,22,6,5,1,44,348063,160,31,1,0,0,3,0,0,3,1,0,0,1
